Position,Velocity,Throttle, Pitch_Angle,Pitch_Rate,Desired_Pitch,Elevator
 6.05070E+01, 6.49087E+00, 5.11317E-01, 9.86892E+00, 3.71376E-02, 1.00000E+01, 8.62988E-03
 6.05070E+01, 6.49087E+00, 5.11317E-01, 9.86892E+00, 3.71376E-02, 1.00000E+01, 8.62988E-03
 6.11575E+01, 6.50561E+00, 5.11260E-01, 9.87250E+00, 3.58285E-02, 1.00000E+01, 8.40869E-03
 6.24630E+01, 6.53444E+00, 5.11203E-01, 9.87935E+00, 3.37372E-02, 1.00000E+01, 8.18567E-03
 6.24630E+01, 6.53444E+00, 5.11203E-01, 9.87935E+00, 3.37372E-02, 1.00000E+01, 8.18567E-03
 6.31178E+01, 6.54854E+00, 5.11147E-01, 9.88263E+00, 3.27995E-02, 1.00000E+01, 7.96547E-03
 6.37741E+01, 6.56254E+00, 5.11037E-01, 9.88586E+00, 3.23307E-02, 1.00000E+01, 7.51478E-03
 6.44317E+01, 6.57622E+00, 5.10983E-01, 9.88898E+00, 3.11949E-02, 1.00000E+01, 7.32201E-03
 6.57510E+01, 6.60298E+00, 5.10929E-01, 9.89494E+00, 2.93763E-02, 1.00000E+01, 7.12776E-03
 6.57510E+01, 6.60298E+00, 5.10876E-01, 9.89494E+00, 2.93763E-02, 1.00000E+01, 6.93603E-03
 6.64126E+01, 6.61606E+00, 5.10824E-01, 9.89780E+00, 2.85602E-02, 1.00000E+01, 6.74834E-03
 6.77396E+01, 6.64174E+00, 5.10720E-01, 9.90331E+00, 2.73851E-02, 1.00000E+01, 6.36573E-03
 6.77396E+01, 6.64174E+00, 5.10720E-01, 9.90331E+00, 2.73851E-02, 1.00000E+01, 6.36573E-03
 6.84051E+01, 6.65424E+00, 5.10669E-01, 9.90596E+00, 2.64240E-02, 1.00000E+01, 6.20238E-03
 6.97396E+01, 6.67867E+00, 5.10619E-01, 9.91101E+00, 2.48840E-02, 1.00000E+01, 6.03781E-03
 6.97396E+01, 6.67867E+00, 5.10619E-01, 9.91101E+00, 2.48840E-02, 1.00000E+01, 6.03781E-03
 7.10789E+01, 6.70247E+00, 5.10471E-01, 9.91581E+00, 2.38472E-02, 1.00000E+01, 5.54287E-03
 7.10789E+01, 6.70247E+00, 5.10471E-01, 9.91581E+00, 2.38472E-02, 1.00000E+01, 5.54287E-03
 7.17503E+01, 6.71404E+00, 5.10471E-01, 9.91811E+00, 2.30093E-02, 1.00000E+01, 5.54287E-03
 7.24229E+01, 6.72544E+00, 5.10423E-01, 9.92034E+00, 2.23060E-02, 1.00000E+01, 5.40067E-03
 7.37713E+01, 6.74781E+00, 5.10281E-01, 9.92464E+00, 2.13486E-02, 1.00000E+01, 4.96109E-03
 7.37713E+01, 6.74781E+00, 5.10281E-01, 9.92464E+00, 2.13486E-02, 1.00000E+01, 4.96109E-03
 7.51241E+01, 6.76950E+00, 5.10189E-01, 9.92873E+00, 2.02204E-02, 1.00000E+01, 4.69096E-03
 7.58021E+01, 6.78004E+00, 5.10144E-01, 9.93067E+00, 1.94921E-02, 1.00000E+01, 4.57143E-03
 7.64812E+01, 6.79042E+00, 5.10099E-01, 9.93256E+00, 1.88889E-02, 1.00000E+01, 4.45045E-03
 7.64812E+01, 6.79042E+00, 5.10099E-01, 9.93256E+00, 1.88889E-02, 1.00000E+01, 4.45045E-03
 7.78423E+01, 6.81078E+00, 5.10011E-01, 9.93621E+00, 1.80736E-02, 1.00000E+01, 4.19985E-03
 7.78423E+01, 6.81078E+00, 5.10011E-01, 9.93621E+00, 1.80736E-02, 1.00000E+01, 4.19985E-03
 7.92074E+01, 6.83050E+00, 5.09924E-01, 9.93966E+00, 1.71180E-02, 1.00000E+01, 3.97122E-03
 7.98914E+01, 6.84009E+00, 5.09924E-01, 9.94131E+00, 1.65014E-02, 1.00000E+01, 3.97122E-03
 7.98914E+01, 6.84009E+00, 5.09924E-01, 9.94131E+00, 1.65014E-02, 1.00000E+01, 3.97122E-03
 8.12623E+01, 6.85888E+00, 5.09840E-01, 9.94449E+00, 1.56084E-02, 1.00000E+01, 3.75592E-03
 8.12623E+01, 6.85888E+00, 5.09840E-01, 9.94449E+00, 1.56084E-02, 1.00000E+01, 3.75592E-03
 8.19491E+01, 6.86810E+00, 5.09757E-01, 9.94602E+00, 1.53161E-02, 1.00000E+01, 3.55236E-03
 8.26368E+01, 6.87708E+00, 5.09716E-01, 9.94750E+00, 1.47627E-02, 1.00000E+01, 3.46192E-03
 8.40148E+01, 6.89461E+00, 5.09676E-01, 9.95032E+00, 1.38933E-02, 1.00000E+01, 3.37036E-03
 8.40148E+01, 6.89461E+00, 5.09636E-01, 9.95032E+00, 1.38933E-02, 1.00000E+01, 3.27979E-03
 8.53963E+01, 6.91166E+00, 5.09636E-01, 9.95300E+00, 1.33127E-02, 1.00000E+01, 3.27979E-03
 8.53963E+01, 6.91166E+00, 5.09557E-01, 9.95300E+00, 1.33127E-02, 1.00000E+01, 3.09428E-03
 8.60883E+01, 6.91994E+00, 5.09518E-01, 9.95429E+00, 1.28449E-02, 1.00000E+01, 3.01490E-03
 8.67811E+01, 6.92808E+00, 5.09480E-01, 9.95553E+00, 1.24523E-02, 1.00000E+01, 2.93490E-03
 8.81692E+01, 6.94403E+00, 5.09480E-01, 9.95793E+00, 1.19178E-02, 1.00000E+01, 2.93490E-03
 8.81692E+01, 6.94403E+00, 5.09405E-01, 9.95793E+00, 1.19178E-02, 1.00000E+01, 2.76951E-03
 8.88643E+01, 6.95177E+00, 5.09405E-01, 9.95908E+00, 1.14979E-02, 1.00000E+01, 2.76951E-03
 9.02570E+01, 6.96694E+00, 5.09294E-01, 9.96129E+00, 1.09700E-02, 1.00000E+01, 2.54797E-03
 9.09544E+01, 6.97430E+00, 5.09258E-01, 9.96235E+00, 1.05809E-02, 1.00000E+01, 2.48281E-03
 9.16525E+01, 6.98153E+00, 5.09258E-01, 9.96338E+00, 1.02561E-02, 1.00000E+01, 2.48281E-03
 9.16525E+01, 6.98153E+00, 5.09222E-01, 9.96338E+00, 1.02561E-02, 1.00000E+01, 2.41704E-03
 9.30510E+01, 6.99570E+00, 5.09222E-01, 9.96535E+00, 9.81513E-03, 1.00000E+01, 2.41704E-03
 9.37512E+01, 7.00256E+00, 5.09152E-01, 9.96630E+00, 9.46926E-03, 1.00000E+01, 2.28085E-03
 9.44521E+01, 7.00931E+00, 5.09083E-01, 9.96722E+00, 9.17940E-03, 1.00000E+01, 2.16341E-03
 9.51537E+01, 7.01595E+00, 5.09083E-01, 9.96811E+00, 8.91651E-03, 1.00000E+01, 2.16341E-03
 9.51537E+01, 7.01595E+00, 5.09083E-01, 9.96811E+00, 8.91651E-03, 1.00000E+01, 2.16341E-03
 9.58560E+01, 7.02253E+00, 5.09015E-01, 9.96899E+00, 8.78507E-03, 1.00000E+01, 2.04152E-03
 9.72624E+01, 7.03529E+00, 5.09015E-01, 9.97067E+00, 8.32083E-03, 1.00000E+01, 2.04152E-03
 9.72624E+01, 7.03529E+00, 5.08949E-01, 9.97067E+00, 8.32083E-03, 1.00000E+01, 1.93030E-03
 9.79666E+01, 7.04147E+00, 5.08949E-01, 9.97147E+00, 8.02102E-03, 1.00000E+01, 1.93030E-03
 9.86713E+01, 7.04754E+00, 5.08884E-01, 9.97225E+00, 7.77277E-03, 1.00000E+01, 1.83136E-03
 9.93767E+01, 7.05350E+00, 5.08884E-01, 9.97301E+00, 7.54911E-03, 1.00000E+01, 1.83136E-03
 1.00789E+02, 7.06517E+00, 5.08852E-01, 9.97446E+00, 7.23364E-03, 1.00000E+01, 1.78212E-03
 1.00789E+02, 7.06517E+00, 5.08789E-01, 9.97446E+00, 7.23364E-03, 1.00000E+01, 1.68124E-03
